
[2025-06-21 05:27:51] [INFO] [__main__] - 2025-06-21 05:27:51 | SHORT işlemi gerçekleştirildi. | Sembol: HUMAUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 05:29:54] [INFO] [__main__] - 2025-06-21 05:29:53 | LONG işlemi gerçekleştirildi. | Sembol: BMTUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 05:34:35] [INFO] [__main__] - 2025-06-21 05:34:35 | SHORT işlemi gerçekleştirildi. | Sembol: AERGOUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 05:36:54] [INFO] [__main__] - 2025-06-21 05:36:53 | SHORT işlemi gerçekleştirildi. | Sembol: NEIROUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 05:39:29] [INFO] [__main__] - 2025-06-21 05:39:28 | SHORT işlemi gerçekleştirildi. | Sembol: 1000PEPEUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 05:41:52] [INFO] [__main__] - 2025-06-21 05:41:52 | SHORT işlemi gerçekleştirildi. | Sembol: NEIROUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 36.90 USDT
[2025-06-21 05:44:13] [INFO] [__main__] - 2025-06-21 05:44:12 | SHORT işlemi gerçekleştirildi. | Sembol: AERGOUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 36.90 USDT
[2025-06-21 05:46:14] [INFO] [__main__] - 2025-06-21 05:46:13 | SHORT işlemi gerçekleştirildi. | Sembol: PNUTUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 36.90 USDT
[2025-06-21 05:47:45] [INFO] [__main__] - 2025-06-21 05:47:45 | SHORT işlemi gerçekleştirildi. | Sembol: HUMAUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 36.90 USDT
[2025-06-21 05:49:17] [INFO] [__main__] - 2025-06-21 05:49:16 | SHORT işlemi gerçekleştirildi. | Sembol: HUMAUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 36.90 USDT
[2025-06-21 05:50:48] [INFO] [__main__] - 2025-06-21 05:50:48 | SHORT işlemi gerçekleştirildi. | Sembol: HUMAUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 36.90 USDT
[2025-06-21 05:52:54] [INFO] [__main__] - 2025-06-21 05:52:54 | SHORT işlemi gerçekleştirildi. | Sembol: PNUTUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 37.24 USDT
[2025-06-21 05:56:47] [INFO] [__main__] - 2025-06-21 05:56:47 | SHORT işlemi gerçekleştirildi. | Sembol: HUMAUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 37.24 USDT
[2025-06-21 05:58:19] [INFO] [__main__] - 2025-06-21 05:58:19 | SHORT işlemi gerçekleştirildi. | Sembol: HUMAUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 37.24 USDT
[2025-06-21 05:59:51] [INFO] [__main__] - 2025-06-21 05:59:50 | SHORT işlemi gerçekleştirildi. | Sembol: HUMAUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 37.24 USDT
[2025-06-21 06:01:23] [INFO] [__main__] - 2025-06-21 06:01:23 | SHORT işlemi gerçekleştirildi. | Sembol: FUNUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 37.24 USDT
[2025-06-21 06:05:14] [INFO] [__main__] - 2025-06-21 06:05:14 | SHORT işlemi gerçekleştirildi. | Sembol: TURBOUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 37.24 USDT
[2025-06-21 06:09:06] [INFO] [__main__] - 2025-06-21 06:09:05 | SHORT işlemi gerçekleştirildi. | Sembol: FUNUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 37.24 USDT
